[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S3_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_2,S6_select_schedulingTypeSelect_index_1,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S11_submit_submitButton,S0_type_memberUserName
validPaymentCountBetween17and36,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween17and36,invalidAmountRight,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween17and36,validAcceptableAmount,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween17and36,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween1and6,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween1and6,invalidAmountRight,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountLef,invalidAmountRight,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,SINGLE_FUTURE,IMMEDIATELY,MULTIPLE_FUTURE,action,action,action,test1
